Active-HDL 10.2.3312.5682  2016-08-23 16:47:28

Elaboration top modules:
Architecture                  behavior(testbench)


----------------------------------------------------------------------------------------------------------------------------
Entity                                  | Architecture | Library   | Info | Compiler Version          | Compilation Options
----------------------------------------------------------------------------------------------------------------------------
testbench                               | behavior     | work      |      | 10.2.3312.5682  (Windows) | -O3
top                                     | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_0                                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_1                                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_2                                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_3                                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_commanddataarbiter_SLICE_4         | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_commanddataarbiter_SLICE_5         | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_commanddataarbiter_SLICE_6         | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_commanddataarbiter_SLICE_7         | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_commanddataarbiter_SLICE_8         | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_commanddataarbiter_SLICE_9         | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_commanddataarbiter_SLICE_10        | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_commanddataarbiter_SLICE_11        | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_commanddataarbiter_SLICE_12        | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce1_SLICE_13                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce1_SLICE_14                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce1_SLICE_15                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce1_SLICE_16                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce1_SLICE_17                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce1_SLICE_18                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce1_SLICE_19                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce1_SLICE_20                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce1_SLICE_21                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce1_SLICE_22                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce1_SLICE_23                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_resetroutine_SLICE_24              | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_resetroutine_SLICE_25              | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_resetroutine_SLICE_26              | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_resetroutine_SLICE_27              | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_writecommanddata_SLICE_28          | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_writecommanddata_SLICE_29          | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_writecommanddata_SLICE_30          | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_writecommanddata_SLICE_31          | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_writecommanddata_SLICE_32          | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_writecommanddata_SLICE_33          | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_writecommanddata_SLICE_34          | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_writecommanddata_SLICE_35          | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_writecommanddata_SLICE_36          | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fillcolor_SLICE_37                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fillcolor_SLICE_38                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fillcolor_SLICE_39                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fillcolor_SLICE_40                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fillcolor_SLICE_41                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fillcolor_SLICE_42                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fillcolor_SLICE_43                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fillcolor_SLICE_44                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fillcolor_SLICE_45                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_clkdivider_SLICE_46                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_clkdivider_SLICE_47                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_clkdivider_SLICE_48                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_clkdivider_SLICE_49                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_clkdivider_SLICE_50                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_clkdivider_SLICE_51                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_clkdivider_SLICE_52                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_clkdivider_SLICE_53                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce3_SLICE_54                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce3_SLICE_55                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce3_SLICE_56                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce3_SLICE_57                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce3_SLICE_58                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce3_SLICE_59                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce3_SLICE_60                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce3_SLICE_61                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce3_SLICE_62                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce3_SLICE_63                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_debounce3_SLICE_64                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_65                                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_66                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_clkdivider_SLICE_67                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_68                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_69                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_70                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_71                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_setbacklight_SLICE_72              | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_73                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_74                                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fillcolor_SLICE_75                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_76                                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fillcolor_SLICE_77                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_resetroutine_SLICE_78              | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_commanddataarbiter_SLICE_79        | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_movetopoint_SLICE_80               | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_81                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_commanddataarbiter_SLICE_82        | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_movetopoint_SLICE_83               | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_84                                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_commanddataarbiter_SLICE_85        | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_movetopoint_SLICE_86               | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_87                                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_88                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_89                                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_90                                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_91                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_92                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_94                                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_commanddataarbiter_SLICE_96        | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_commanddataarbiter_SLICE_97        | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fillcolor_SLICE_101                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fillcolor_SLICE_102                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fillcolor_SLICE_103                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fillcolor_SLICE_104                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fillcolor_SLICE_105                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fillcolor_SLICE_106                | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_107                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_108                               | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_110                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_111                               | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_113                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_114                               | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_116                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_117                               | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_119                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_120                               | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_122                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_123                               | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_125                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_126                               | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_128                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_129                               | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_131                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_132                               | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_134                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_135                               | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_137                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
SLICE_138                               | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
inst_fsm_init_SLICE_140                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -O3
